Cliente,SECTOR NEGOCIO,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,Total general,,,
RUTUR VIAJES,AÉREO,"5,585.03","1,648.40",,,,,,,241.66,252.16,,,"7,727.25",Mediano,Poco Frecuente,
RUTUR VIAJES,TERRESTRE,,,,,,,,,"2,381.40",,,,"2,381.40",Mediano,Poco Frecuente,
ARACELI GUADALUPE ISLA,AÉREO,,,,,,,,,,,665.26,,665.26,Pequeño,Poco Frecuente,
ARACELI GUADALUPE ISLA,TERRESTRE,,,,,,,"3,531.72",,145.87,"2,193.94","2,725.39",485.63,"9,082.55",Mediano,Frecuente,
LOZADA GARCIA FERRER,AÉREO,"1,749.74",981.90,,,,"1,703.88",,,,,,,"4,435.52",Mediano,Poco Frecuente,
LOZADA GARCIA FERRER,TERRESTRE,,,,"2,370.74",,"1,636.22",,,,"1,231.85",,,"5,238.81",Mediano,Poco Frecuente,
MANADA VIAJERA,AÉREO,,"2,817.12",,"2,531.85",,,,,,,,,"5,348.98",Mediano,Poco Frecuente,
MANADA VIAJERA,TERRESTRE,,25.54,,,,,"1,483.05",,,"2,680.92",,,"4,189.51",Mediano,Poco Frecuente,
RALLY DEL SUR,AÉREO,"5,299.01","3,916.60",,,,,,,,,,,"9,215.62",Mediano,Poco Frecuente,
MALIBU VIAJES,AÉREO,"5,054.32",388.22,,,,,,,,,136.95,,"5,579.48",Mediano,Poco Frecuente,
MALIBU VIAJES,TERRESTRE,,,"3,559.00",,,,,,,,,,"3,559.00",Mediano,Poco Frecuente,
VIA MARIS,AÉREO,"3,548.16","5,431.53",,,,,,,,,,,"8,979.69",Mediano,Poco Frecuente,
VIA MARIS,TERRESTRE,104.17,,,,,,,,,,,,104.17,Pequeño,Poco Frecuente,
DOS PUNTO CERO,TERRESTRE,"6,862.05","1,329.38",,,,,,,,790.94,,,"8,982.37",Mediano,Poco Frecuente,
HIMALAYA RIO CUARTO,AÉREO,,,,,,"5,259.57",,,,865.08,,"2,085.13","8,209.78",Mediano,Poco Frecuente,
HIMALAYA RIO CUARTO,TERRESTRE,,198.69,,,,,,,,,,,198.69,Pequeño,Poco Frecuente,
DANIELE & BREZZO VIAJE,AÉREO,,,,,,,,149.37,,,,,149.37,Pequeño,Poco Frecuente,
DANIELE & BREZZO VIAJE,TERRESTRE,,,,,,"8,194.82",,,,,,,"8,194.82",Mediano,Poco Frecuente,
PASEO TURISTICO,AÉREO,"4,947.58",,,,,"1,792.08",,,,,,"1,540.00","8,279.65",Mediano,Poco Frecuente,
AGADEZ VIAJES,AÉREO,,,,,,"4,255.05","2,108.49",,,,,,"6,363.54",Mediano,Poco Frecuente,
AGADEZ VIAJES,TERRESTRE,,,,,,,"1,868.00",,,,,,"1,868.00",Mediano,Poco Frecuente,
NATIVO VIAJES,AÉREO,"7,542.01",463.08,,,,,,,,,,,"8,005.09",Mediano,Poco Frecuente,
AMBAR VIAJES,AÉREO,725.07,"2,506.28",,,,,,,"2,788.01",,,,"6,019.35",Mediano,Poco Frecuente,
AMBAR VIAJES,TERRESTRE,"1,966.67",,,,,,,,,,,,"1,966.67",Mediano,Poco Frecuente,
